Samples,Time,Feature,Prob
1000000,0,0,0.469919007000000
1000000,0,1,0.023834696000000
1000000,0,2,0.013138381000000
1000000,0,3,0.033798359000000
1000000,0,4,0.459309557000000
1000000,1,0,0.025631333000000
1000000,1,1,0.444922080000000
1000000,1,2,0.065833728000000
1000000,1,3,0.429842272000000
1000000,1,4,0.033770587000000
1000000,2,0,0.012270021000000
1000000,2,1,0.064316914000000
1000000,2,2,0.844708596000000
1000000,2,3,0.064094098000000
1000000,2,4,0.014610371000000
1000000,3,0,0.030852458000000
1000000,3,1,0.435573892000000
1000000,3,2,0.063592488000000
1000000,3,3,0.444047879000000
1000000,3,4,0.025933283000000
1000000,4,0,0.461327181000000
1000000,4,1,0.031352418000000
1000000,4,2,0.012726807000000
1000000,4,3,0.028217392000000
1000000,4,4,0.466376202000000
